state,city,avg_rating,rating_variance,avg_price,n_restaurants,avg_review_count
CT,Bristol,4.128,0.2441366834170853,1.9280575539568345,200,169.925
CT,Danbury,4.086,0.3104562814070353,1.9922480620155039,200,136.975
CT,Hartford,4.2025,0.1774309045226127,1.8832116788321167,200,195.935
CT,New Britain,4.151,0.21778793969849256,1.8780487804878048,200,126.915
CT,New Haven,4.1535,0.17868115577889493,1.9848484848484849,200,239.685
CT,Norwalk,4.1530000000000005,0.1718502512562813,2.0,200,134.405
CT,Stamford,3.9925,0.2451193467336684,1.9930555555555556,200,156.825
CT,Waterbury,4.052,0.40411658291457325,1.7545454545454546,200,65.26
CT,West Hartford,4.1145,0.1808439698492462,1.952054794520548,200,237.21
DE,Dover,3.5395,0.7685324120603017,1.549618320610687,200,57.375
DE,Georgetown,2.868627450980392,2.8809960784313717,1.3333333333333333,51,17.568627450980394
DE,Middletown,2.896350364963504,1.9699130528123647,1.5555555555555556,137,46.02919708029197
DE,Milford,2.8825806451612905,2.3366426476749047,1.338235294117647,155,33.12903225806452
DE,Millsboro,3.175,1.5599509803921563,1.2,52,26.96153846153846
DE,New Castle,4.008,0.30867939698492414,1.7518796992481203,200,100.415
DE,Newark,4.03,0.23035175879397013,1.8656716417910448,200,141.605
DE,Seaford,2.7575,2.660196202531645,1.394736842105263,80,14.55
DE,Smyrna,2.7266666666666666,2.4860360360360345,1.4594594594594594,75,30.04
DE,Wilmington,4.1265,0.17994748743718594,1.9583333333333333,200,149.025
FL,Cape Coral,4.1345,0.20277361809045205,2.0135135135135136,200,285.89
FL,Fort Lauderdale,4.287,0.09872462311557803,2.2134146341463414,200,720.08
FL,Hialeah,4.2855,0.17813040201005034,2.076923076923077,200,655.71
FL,Jacksonville,4.316,0.1002452261306533,2.038216560509554,200,312.34
FL,Miami,4.315,0.09374371859296483,2.3125,200,756.24
FL,Orlando,4.322,0.10252864321608031,2.1638418079096047,200,699.03
FL,Port St. Lucie,3.944,0.37312964824120615,1.8224299065420562,200,118.965
FL,St. Petersburg,4.3015,0.11984698492462313,2.033557046979866,200,406.16
FL,Tallahassee,4.111000000000001,0.1969638190954774,1.832167832167832,200,152.635
FL,Tampa,4.2355,0.10360778894472362,2.206060606060606,200,571.79
GA,Albany,3.3325,1.550546482412059,1.3846153846153846,200,29.015
GA,Athens,3.952,0.3537648241206016,1.6791044776119404,200,116.625
GA,Atlanta,4.2285,0.0736057788944725,2.298780487804878,200,834.94
GA,Augusta,4.0714999999999995,0.3088821608040201,1.8581081081081081,200,147.69
GA,Columbus,3.8855,0.34285402010050264,1.744,200,97.48
GA,Macon,3.8155,0.4620198492462309,1.5,200,68.92
GA,Roswell,4.2444999999999995,0.13333643216080412,2.066666666666667,200,260.265
GA,Sandy Springs,4.2135,0.09896256281407047,2.1320754716981134,200,462.975
GA,Savannah,4.2245,0.12909522613065338,2.050314465408805,200,550.255
GA,Warner Robins,3.728,0.4679557788944715,1.5701754385964912,200,62.685
HI,Hilo,4.0745,0.3787937185929651,1.7724137931034483,200,213.03
HI,Honolulu,4.302,0.07909145728643215,2.308108108108108,200,1354.19
HI,Kahului,4.12,0.49095477386934666,1.856164383561644,200,207.87
HI,Kailua,4.0915,0.42238969849246244,1.8848484848484848,200,372.91
HI,Kaneohe,4.038,0.4042773869346736,1.8735632183908046,200,476.365
HI,Kapolei,3.8775,0.42476758793969843,2.0602409638554215,200,402.055
HI,Kihei,4.2825,0.1528077889447237,2.1625,200,681.295
HI,Lihue,3.7635,1.4112741206030137,1.9338235294117647,200,327.345
HI,Pearl City,3.88,0.5150753768844222,1.9602272727272727,200,420.405
HI,Waipahu,3.778,0.6251417085427141,1.7770700636942676,200,214.54
IA,Ames,3.2532544378698223,1.8165518455903045,1.4018691588785046,169,50.30769230769231
IA,Ankeny,3.593,0.9053778894472376,1.5572519083969465,200,54.685
IA,Cedar Rapids,4.0705,0.2727434673366832,1.6754385964912282,200,62.955
IA,Davenport,3.986,0.37246633165829196,1.7166666666666666,200,77.96
IA,Des Moines,4.1930000000000005,0.144875376884422,1.818840579710145,200,155.59
IA,Dubuque,3.4275,1.524717336683417,1.5213675213675213,200,41.035
IA,Iowa City,3.8564999999999996,0.566088190954774,1.6984126984126984,200,92.515
IA,Sioux City,3.5005,1.4825625628140675,1.4,200,28.75
IA,Waterloo,3.3805,1.537859045226133,1.434782608695652,200,30.32
IA,West Des Moines,4.0969999999999995,0.20471457286432196,1.8832116788321167,200,150.12
ID,Boise,4.2505,0.14944698492462294,1.9415584415584415,200,259.225
ID,Caldwell,3.734,0.7679839195979888,1.5634920634920635,200,89.305
ID,Coeur d'Alene,3.9789999999999996,0.541064321608039,1.7462686567164178,200,151.895
ID,Idaho Falls,3.5735,1.0985404522613074,1.52,200,80.28
ID,Lewiston,2.9569230769230765,2.6849516994633267,1.542857142857143,130,34.38461538461539
ID,Meridian,3.9819999999999998,0.27575477386934644,1.8425196850393701,200,175.52
ID,Nampa,4.008,0.3624482412060294,1.768,200,144.48
ID,Pocatello,2.856701030927835,2.2793590085999655,1.3142857142857143,194,37.077319587628864
ID,Rexburg,2.780952380952381,2.566556776556778,1.2619047619047619,105,37.89523809523809
ID,Twin Falls,3.0545,2.016763567839197,1.4196428571428572,200,53.09
IL,Aurora,4.1985,0.16768618090452259,1.8357142857142856,200,226.19
IL,Champaign,3.888,0.524578894472363,1.5984251968503937,200,111.445
IL,Chicago,4.324,0.05811457286432169,2.4195402298850577,200,1433.51
IL,Elgin,4.109,0.2313758793969852,1.8013245033112584,200,210.255
IL,Joliet,4.0215,0.3067213567839193,1.713235294117647,200,131.375
IL,Naperville,4.151,0.1829135678391959,2.0272108843537415,200,325.355
IL,Peoria,3.932,0.3351517587939699,1.6870229007633588,200,79.58
